溶解氧,水温,pH,电导率,浊度,高锰酸盐指数,氨氮,总氮
7.53,14.4,7.27,273,2.9,2.71,0.005,2.2
8.42,15.8,7.31,272.6,2.8,2.62,0.008,2.2
8.02,16.4,7.3,272.6,2.7,2.66,0.005,2.22
7.16,15.5,7.34,238.2,2.8,2.69,0,2.2
7.24,15.2,7.41,236.5,2.6,2.71,0.002,2.16
7.38,14.8,7.41,237.7,2.8,2.6,0.012,2.14
7.57,14.4,7.42,238.5,2.7,2.79,0.002,2.16
8.44,15.7,7.49,238.5,2.5,2.75,0.014,2.13
8.2,16.3,7.48,238.1,2.6,2.68,0,2.14
7.07,15.5,7.39,238.7,2.4,2.74,0.014,2.16
7.34,15,7.4,236.1,2.5,2.64,0.015,2.14
7.58,14.6,7.4,235.4,2.6,2.54,0.017,2.16
7.62,14.1,7.39,233.3,2.7,2.85,0.002,2.16
8.56,15.5,7.46,233.4,2.9,2.85,0.008,2.15
8.45,16.1,7.45,232.5,2.7,2.79,0.012,2.14
7.17,15.3,7.37,234.5,2.4,2.71,0.014,2.15
7.21,14.8,7.35,231.3,2.6,2.7,0.016,2.14
7.49,14.4,7.35,230.9,2.5,2.65,0.001,2.1
7.59,14,7.36,229.2,2.4,2.95,0.002,2.08
8.68,15.4,7.41,229.1,2.3,2.77,0.001,2.08
8.51,16.1,7.42,228.7,2.2,2.67,0.01,2.06
7.39,15.4,7.36,229.6,2.3,2.63,0.003,2.06
7.1,14.9,7.32,228.8,2.3,2.57,0.007,2.04
7.36,14.6,7.33,230,2.3,2.6,0.006,2.04
7.35,14.3,7.33,231.1,2.5,3.02,0.012,2.09
8.5,15.5,7.39,232.9,2.3,2.77,0.009,2.1
8.33,16.1,7.39,232,2.6,2.77,0.005,2.12
7.32,15.5,7.33,231,2.4,2.63,0.018,2.15
6.47,15,7.27,233.2,2.2,2.62,0.01,2.17
7,14.8,7.29,235.3,2.1,2.63,0.009,2.14
7.31,14.6,7.31,235.4,2.3,2.98,0.009,2.11
8.09,15,7.34,236.1,2,2.74,0.016,2.09
8.1,15.4,7.35,237,2,2.58,0.008,2.11
7,15,7.29,239.1,2.2,2.85,0.004,2.14
6.58,14.7,7.26,240.8,2.4,2.72,0.009,2.2
6.66,14.5,7.26,240.4,2.1,2.66,0.083,2.22
6.9,14.4,7.26,238.5,2.2,3.08,0.014,2.21
8.97,15.4,7.36,236.4,2,2.88,0.009,2.18
8.92,16.1,7.38,236.4,2.1,2.93,0.001,2.19
7.58,15.7,7.32,238.1,2.3,2.76,0.008,2.19
6.86,15.5,7.27,240.2,2.3,2.8,0.008,2.2
6.99,15.7,7.27,239.5,2.5,2.87,0.081,2.23
6.9,15.7,7.27,240.5,2.9,3.27,0.083,2.21
8.7,16.6,7.39,239.8,2.3,2.89,0.004,2.2
8.61,17.1,7.43,239.9,2.6,2.87,0.016,2.2
7.56,16.7,7.32,229.9,4.5,3,0.119,2.29
8.24,16.4,7.35,209.6,5.1,3,0.094,2.09
8.47,16.2,7.37,208.2,4.2,2.98,0.005,1.93
8.06,16.1,7.33,214,3.9,3.4,0.002,1.91
9.18,17.1,7.41,220.3,3.2,3.12,0.008,1.92
8.63,17.6,7.37,227.9,4.1,3.06,0.009,2
6.51,17.3,7.22,230.6,4,2.88,0.003,2.05
6.89,17.1,7.2,231.5,4.7,2.89,0.01,2.07
6.94,16.6,7.21,232.2,4.3,2.95,0.009,2.07
6.93,16.2,7.19,233.3,4,3.45,0.015,2.13
7.36,16.2,7.2,233.4,3.2,3.04,0.017,2.14
7.92,16.2,7.24,233.9,4.8,2.97,0.014,2.18
6.71,15.9,7.17,238.4,10.2,2.96,0.019,2.35
7.48,15.4,7.2,247.6,7.4,2.95,0.018,2.32
7.44,14.9,7.19,258.9,4.3,2.77,0,2.35
7.24,14.8,7.18,269.2,3,3.23,0.006,2.43
8.57,15.6,7.27,278.3,2.8,3.01,0,2.49
8.58,16.2,7.28,287.7,4.7,3.02,0.002,2.58
7.18,15.6,7.18,297.1,5.6,2.96,0.002,2.67
7.33,15.5,7.18,302.9,4.9,2.92,0.013,2.71
7.76,15.5,7.2,313.6,3.7,2.88,0.009,2.69
7.74,15.4,7.2,326.2,3.6,3.24,0.004,2.79
9.27,16.3,7.42,360.9,2.7,3.13,0.006,2.89
8.77,16.9,7.43,390.6,3.9,3.76,0.008,3.14
6.83,16.2,7.28,416.3,4,3.16,0.009,3.35
6.67,15.8,7.23,418.5,4.2,3.06,0.007,3.4
7.31,16,7.27,414.3,4,2.87,0.016,3.34
7.31,16.1,7.27,411.8,3.2,2.87,0.01,3.26
8.13,16.5,7.33,403.2,3.1,2.87,0.005,3.24
8.25,16.9,7.34,401.4,4.6,2.87,0.005,3.26
6.27,16.5,7.2,388.3,5.7,2.87,0.107,3.3
6.35,16.5,7.18,391.2,5.3,2.87,0.092,3.28
6.682176581,16.53453453,7.186562963,396.5224589,4.656652183,2.87,0.063395125,3.287654321
7.259139934,16.63573574,7.204237037,403.7415383,3.939437203,2.87,0.029419785,3.308641975
7.82,16.8,7.23,411.1,3.6,2.87,0.013,3.34
8.27,17.4,7.29,418.1,4.2,3.07,0.015,3.42
6.41,16.8,7.19,407.2,5.1,3.33,0.004,3.47
6.1,16.5,7.16,400.1,6.1,3.21,0.004,3.48
7.26,16,7.21,411.3,6,3.06,0.001,3.52
7.35,15.7,7.21,414.2,4.2,3.080576132,0.019,3.48
9.18,16.4,7.34,418.9,5.8,3.135720165,0.011,3.56
8.81,16.7,7.34,428.9,4,3.215555556,0.005,3.6
7.6,15.6,7.26,442.8,3.8,3.310205761,0.002,3.7
7.32,14.7,7.23,450.7,3.9,3.409794239,0.011,3.78
7.8,14.4,7.24,461.1,4.3,3.504444444,0.006,3.89
8.25,14.1,7.46,513.6,4.9,3.584279835,0.002,3.86
9.75,14.5,7.54,493.8,2.8,3.639423868,0.004,3.72
9.54,15,7.63,491.5,3,3.66,0.004,3.67
8.06,14.1,7.44,453.6,4.3,3.14,0.009,3.5
7.88,13.7,7.39,454.9,4.4,2.94,0.101,3.52
8.49,13.5,7.41,460.1,6.6,2.71,0.086,3.55
8.86,13.3,7.44,458.1,5.3,3.15,0.089,3.5
9.95,14.3,7.6,460.7,3.1,3.13,0.012,3.39
9.42,14.9,7.55,460.6,11.9,3.03,0.016,3.58
8.08,14.1,7.37,462.9,6.2,3.03,0.089,3.47
8.04,13.8,7.32,462.7,4,2.78,0.017,3.45
8.71,14.1,7.35,475.1,4.6,2.85,0.012,3.51
9.02,14.1,7.36,494.3,3.9,2.85,0.007,3.64
9.45,14.3,7.43,499.5,3.4,2.85,0,3.68
9.36,14.6,7.43,500.7,3.2,2.85,0.007,3.61
7.7,14.2,7.28,499,4.3,2.85,0.001,3.66
7.39,13.9,7.23,492.6,5,2.85,0.004,3.67
8.09,13.8,7.25,493.7,4.8,2.85,0.009,3.7
8.26,13.8,7.26,496.1,3.5,2.85,0.012,3.67
9.51,15,7.36,501.7,3.2,2.85,0.01,3.68
8.84,15.5,7.33,513.2,9.1,3.19,0.001,3.9
7.7,15.1,7.25,522.2,5,2.94,0.002,3.9
8.24,15,7.26,523.9,4.5,2.82,0.007,3.92
9.06,14.6,7.32,325.4,18.4,3.24,0.101,2.73
8.96,14.3,7.3,401.1,8.9,3.33,0.009,3.01
9.55,15.5,7.36,463.9,4.7,2.95,0.013,3.39
8.92,16,7.34,503,4,2.76,0,3.65
7.85,15.2,7.25,500.6,4.5,2.95,0.089,3.68
8.33,15,7.25,497.5,4.3,2.56,0.097,3.67
8.99,14.7,7.3,502.4,4.2,3.45,0.089,3.69
8.98,14.4,7.3,510.5,3.3,3.3,0.003,3.75
9.36,15.9,7.36,517.6,3.6,3.13,0.003,3.78
8.56,16.4,7.32,527.7,4.3,3.220149061,0,3.88
7.39,15.6,7.23,518.3,3.5,3.437247184,0.084,3.9
7.3,15.3,7.22,520.7,4.2,3.701270776,0.094,4
7.71,15.1,7.23,519.9,4.1,3.932196245,0.099,4.05
7.78,15.1,7.23,518.2,3.7,4.05,0.112,4.06
7.95,15.4,7.25,518.8,3.3,4.084412063,0.124,4.08
8.059500346,15.39462026,7.26765862,518.5138438,3.257080662,4.118512424,0.12843129,4.079974779
8.16765034,15.37887588,7.285660871,517.6742005,3.216234925,4.152302439,0.132830131,4.079899286
8.274357036,15.35335913,7.303960136,516.3093082,3.17741221,4.185783466,0.137196611,4.079773776
8.379527491,15.31866227,7.322509794,514.4474052,3.140561937,4.218956861,0.141530819,4.079598506
8.483068759,15.27537757,7.341263229,512.1167294,3.105633527,4.251823982,0.145832845,4.079373731
8.584887898,15.22409729,7.36017382,509.3455191,3.072576401,4.284386185,0.150102777,4.079099706
8.684891962,15.1654137,7.379194948,506.1620123,3.041339978,4.316644827,0.154340705,4.078776687
8.782988006,15.09991906,7.398279997,502.5944471,3.01187368,4.348601266,0.158546717,4.07840493
8.879083088,15.02820563,7.417382345,498.6710616,2.984126926,4.380256858,0.162720903,4.077984691
8.973084261,14.95086569,7.436455376,494.4200941,2.958049138,4.41161296,0.166863351,4.077516224
9.064898582,14.8684915,7.455452469,489.8697825,2.933589735,4.442670929,0.170974151,4.076999786
9.154433107,14.78167532,7.474327007,485.048365,2.910698138,4.473432122,0.175053391,4.076435633
9.24159489,14.69100942,7.49303237,479.9840797,2.889323767,4.503897897,0.179101161,4.075824019
9.326290989,14.59708606,7.51152194,474.7051648,2.869416044,4.534069609,0.18311755,4.075165201
9.408428457,14.5004975,7.529749097,469.2398583,2.850924387,4.563948616,0.187102646,4.074459434
9.487914351,14.40183602,7.547667225,463.6163984,2.833798219,4.593536275,0.191056539,4.073706973
9.564655727,14.30169388,7.565229702,457.8630232,2.817986959,4.622833943,0.194979318,4.072908075
9.63855964,14.20066334,7.582389912,452.0079708,2.803440028,4.651842977,0.198871071,4.072062995
9.709533146,14.09933666,7.599101234,446.0794793,2.790106846,4.680564734,0.202731889,4.071171988
9.777483299,13.99830612,7.615317051,440.1057868,2.777936833,4.70900057,0.206561859,4.070235311
9.842317157,13.89816398,7.630990744,434.1151314,2.766879411,4.737151843,0.210361071,4.069253219
9.903941775,13.7995025,7.646075693,428.1357513,2.756883999,4.76501991,0.214129614,4.068225967
9.962264207,13.70291394,7.66052528,422.1958846,2.747900019,4.792606127,0.217867577,4.067153811
10.01719151,13.60899058,7.674292887,416.3237694,2.73987689,4.819911851,0.221575048,4.066037006
10.06863074,13.51832468,7.687331894,410.5476438,2.732764032,4.84693844,0.225252118,4.064875809
10.11648895,13.4315085,7.699595683,404.8957459,2.726510867,4.873687251,0.228898875,4.063670475
10.1606732,13.34913431,7.711037635,399.3963139,2.721066815,4.90015964,0.232515408,4.06242126
10.20109054,13.27179437,7.721611131,394.0775858,2.716381297,4.926356964,0.236101806,4.061128419
10.23764804,13.20008094,7.731269553,388.9677997,2.712403731,4.952280581,0.239658158,4.059792207
10.27025273,13.1345863,7.739966282,384.0951939,2.709083541,4.977931846,0.243184553,4.058412881
10.29881169,13.07590271,7.747654699,379.4880064,2.706370144,5.003312118,0.24668108,4.056990696
10.32323196,13.02462243,7.754288185,375.1744753,2.704212963,5.028422754,0.250147829,4.055525908
10.3434206,12.98133773,7.759820122,371.1828387,2.702561418,5.053265109,0.253584887,4.054018772
10.35928467,12.94664087,7.76420389,367.5413347,2.701364928,5.077840541,0.256992345,4.052469543
10.37073122,12.92112412,7.767392872,364.2782016,2.700572915,5.102150407,0.260370291,4.050878479
10.37766732,12.90537974,7.769340448,361.4216773,2.700134799,5.126196064,0.263718815,4.049245833
10.38,12.9,7.77,359,2.7,5.149978869,0.267038005,4.047571862
10.37966197,12.90038348,7.769954072,356.8111866,2.704530797,5.173500179,0.27032795,4.045856822
10.37865411,12.90152685,7.769817115,354.6344392,2.718039477,5.196761351,0.273588739,4.044100968
10.3769858,12.90341948,7.769590368,352.4697737,2.740400476,5.219763742,0.276820462,4.042304555
10.3746664,12.90605073,7.769275072,350.317206,2.771488228,5.242508708,0.280023208,4.040467839
10.37170528,12.90940998,7.768872466,348.1767519,2.81117717,5.264997607,0.283197065,4.038591077
10.36811181,12.9134866,7.76838379,346.0484274,2.859341736,5.287231795,0.286342122,4.036674523
10.36389536,12.91826997,7.767810284,343.9322484,2.915856361,5.30921263,0.289458469,4.034718433
10.35906529,12.92374946,7.767153187,341.8282307,2.980595482,5.330941469,0.292546195,4.032723062
10.35363098,12.92991444,7.766413741,339.7363903,3.053433532,5.352419668,0.295605388,4.030688667
10.34760179,12.93675427,7.765593184,337.656743,3.134244946,5.373648585,0.298636137,4.028615503
10.34098709,12.94425835,7.764692757,335.5893047,3.222904162,5.394629575,0.301638533,4.026503826
10.33379625,12.95241602,7.763713699,333.5340914,3.319285612,5.415363998,0.304612663,4.024353891
10.32603863,12.96121668,7.76265725,331.4911189,3.423263734,5.435853208,0.307558617,4.022165953
10.31772361,12.97064969,7.76152465,329.4604031,3.534712961,5.456098564,0.310476483,4.01994027
10.30886055,12.98070442,7.760317139,327.4419598,3.653507729,5.476101422,0.313366351,4.017677095
10.29945882,12.99137024,7.759035956,325.4358051,3.779522473,5.495863139,0.31622831,4.015376685
10.2895278,13.00263653,7.757682343,323.4419548,3.912631629,5.515385072,0.319062449,4.013039295
10.27907684,13.01449266,7.756257538,321.4604247,4.052709631,5.534668578,0.321868857,4.010665181
10.26811531,13.02692801,7.754762781,319.4912309,4.199630916,5.553715015,0.324647623,4.008254599
10.25665259,13.03993194,7.753199312,317.534389,4.353269917,5.572525738,0.327398835,4.005807804
10.24469804,13.05349382,7.751568372,315.5899152,4.51350107,5.591102105,0.330122584,4.003325051
10.23226103,13.06760303,7.749871199,313.6578252,4.680198811,5.609445473,0.332818957,4.000806597
10.21935093,13.08224895,7.748109034,311.7381349,4.853237574,5.627557199,0.335488045,3.998252697
10.2059771,13.09742094,7.746283117,309.8308603,5.032491795,5.645438639,0.338129935,3.995663607
10.19214892,13.11310837,7.744394688,307.9360172,5.21783591,5.663091152,0.340744718,3.993039582
10.17787575,13.12930062,7.742444985,306.0536216,5.409144352,5.680516093,0.343332482,3.990380878
10.16316696,13.14598706,7.74043525,304.1836892,5.606291558,5.697714819,0.345893315,3.987687751
10.14803192,13.16315706,7.738366723,302.3262361,5.809151962,5.714688688,0.348427308,3.984960455
10.13248,13.1808,7.736240642,300.4812781,6.0176,5.731439057,0.350934549,3.982199248
10.11652056,13.19890524,7.734058248,298.6488311,6.231510107,5.747967282,0.353415128,3.979404384
10.10016298,13.21746217,7.731820781,296.8289109,6.450756718,5.764274721,0.355869132,3.976576118
10.08341662,13.23646014,7.72952948,295.0215335,6.675214269,5.78036273,0.358296652,3.973714708
10.06629084,13.25588854,7.727185586,293.2267149,6.904757194,5.796232666,0.360697776,3.970820407
10.04879503,13.27573673,7.724790338,291.4444707,7.139259929,5.811885887,0.363072594,3.967893473
10.03093854,13.2959941,7.722344976,289.6748171,7.378596908,5.827323748,0.365421194,3.96493416
10.01273074,13.31665,7.71985074,287.9177698,7.622642568,5.842547608,0.367743665,3.961942724
9.994181009,13.33769381,7.717308871,286.1733447,7.871271344,5.857558824,0.370040096,3.958919421
9.975298707,13.35911491,7.714720607,284.4415578,8.124357669,5.872358751,0.372310577,3.955864506
9.956093203,13.38090267,7.712087188,282.7224249,8.381775981,5.886948747,0.374555197,3.952778235
9.936573865,13.40304646,7.709409855,281.015962,8.643400713,5.90133017,0.376774044,3.949660864
9.916750063,13.42553564,7.706689848,279.3221848,8.909106302,5.915504375,0.378967208,3.946512648
9.896631163,13.4483596,7.703928405,277.6411094,9.178767182,5.92947272,0.381134777,3.943333843
9.876226535,13.47150771,7.701126768,275.9727516,9.452257788,5.943236562,0.38327684,3.940124704
9.855545546,13.49496934,7.698286176,274.3171273,9.729452556,5.956797258,0.385393488,3.936885488
9.834597564,13.51873386,7.695407868,272.6742523,10.01022592,5.970156165,0.387484808,3.933616449
9.813391959,13.54279064,7.692493085,271.0441427,10.29445232,5.98331464,0.389550889,3.930317843
9.791938097,13.56712905,7.689543067,269.4268142,10.58200618,5.996274039,0.391591822,3.926989926
9.770245347,13.59173847,7.686559053,267.8222828,10.87276195,6.009035719,0.393607694,3.923632954
9.748323077,13.61660827,7.683542283,266.2305644,11.16659405,6.021601039,0.395598595,3.920247182
9.726180655,13.64172783,7.680493998,264.6516748,11.46337693,6.033971354,0.397564613,3.916832866
9.70382745,13.66708651,7.677415436,263.0856299,11.76298502,6.046148021,0.399505839,3.913390261
9.68127283,13.69267368,7.674307839,261.5324457,12.06529275,6.058132398,0.40142236,3.909919624
9.658526162,13.71847872,7.671172445,259.9921381,12.37017455,6.069925841,0.403314266,3.906421209
9.635596815,13.74449101,7.668010494,258.4647228,12.67750488,6.081529707,0.405181646,3.902895272
9.612494157,13.77069991,7.664823227,256.9502159,12.98715815,6.092945354,0.407024589,3.899342069
9.589227557,13.79709479,7.661611884,255.4486332,13.2990088,6.104174138,0.408843184,3.895761856
9.565806382,13.82366503,7.658377703,253.9599906,13.61293127,6.115217417,0.41063752,3.892154888
9.54224,13.8504,7.655121926,252.484304,13.9288,6.126076546,0.412407686,3.88852142
9.51853778,13.87728907,7.651845791,251.0215893,14.24648942,6.136752884,0.414153772,3.884861709
9.49470909,13.90432162,7.648550539,249.5718624,14.56587396,6.147247786,0.415875865,3.88117601
9.470763298,13.93148701,7.64523741,248.1351391,14.88682806,6.157562611,0.417574055,3.877464579
9.446709772,13.95877463,7.641907644,246.7114355,15.20922616,6.167698714,0.419248432,3.873727671
9.422557881,13.98617383,7.638562479,245.3007672,15.53294269,6.177657454,0.420899083,3.869965541
9.398316992,14.013674,7.635203157,243.9031504,15.85785208,6.187440186,0.422526099,3.866178447
9.373996474,14.0412645,7.631830917,242.5186008,16.18382878,6.197048268,0.424129568,3.862366642
9.349605694,14.06893472,7.628446999,241.1471343,16.51074721,6.206483057,0.425709579,3.858530383
9.325154022,14.09667401,7.625052643,239.7887669,16.83848181,6.21574591,0.427266222,3.854669925
9.300650825,14.12447175,7.621649088,238.4435144,17.16690702,6.224838184,0.428799585,3.850785525
9.27610547,14.15231732,7.618237575,237.1113927,17.49589727,6.233761235,0.430309757,3.846877437
9.251527328,14.18020009,7.614819344,235.7924178,17.82532699,6.24251642,0.431796828,3.842945917
9.226925765,14.20810943,7.611395633,234.4866054,18.15507063,6.251105097,0.433260886,3.838991221
9.20231015,14.2360347,7.607967684,233.1939715,18.48500262,6.259528623,0.43470202,3.835013604
9.17768985,14.2639653,7.604536736,231.9145321,18.81499738,6.267788354,0.43612032,3.831013323
9.153074235,14.29189057,7.601104029,230.6483029,19.14492937,6.275885647,0.437515875,3.826990632
9.128472672,14.31979991,7.597670802,229.3952999,19.47467301,6.28382186,0.438888773,3.822945788
9.10389453,14.34768268,7.594238296,228.155539,19.80410273,6.291598349,0.440239103,3.818879045
9.079349175,14.37552825,7.59080775,226.929036,20.13309298,6.299216472,0.441566956,3.814790661
9.054845978,14.40332599,7.587380405,225.7158069,20.46151819,6.306677584,0.442872418,3.810680889
9.030394306,14.43106528,7.5839575,224.5158676,20.78925279,6.313983044,0.444155581,3.806549986
9.006003526,14.4587355,7.580540275,223.3292338,21.11617122,6.321134208,0.445416532,3.802398207
8.981683008,14.486326,7.577129969,222.1559217,21.44214792,6.328132433,0.446655361,3.798225809
8.957442119,14.51382617,7.573727824,220.9959469,21.76705731,6.334979076,0.447872156,3.794033046
8.933290228,14.54122537,7.570335078,219.8493255,22.09077384,6.341675494,0.449067007,3.789820175
8.909236702,14.56851299,7.566952972,218.7160733,22.41317194,6.348223044,0.450240003,3.78558745
8.88529091,14.59567838,7.563582745,217.5962062,22.73412604,6.354623083,0.451391233,3.781335128
8.86146222,14.62271093,7.560225637,216.4897401,23.05351058,6.360876967,0.452520786,3.777063464
8.83776,14.6496,7.556882889,215.3966909,23.3712,6.366986054,0.453628751,3.772772714
8.814193618,14.67633497,7.553555739,214.3170745,23.68706873,6.372951702,0.454715216,3.768463133
8.790772443,14.70290521,7.550245428,213.2509068,24.0009912,6.378775265,0.455780272,3.764134977
8.767505843,14.72930009,7.546953196,212.1982036,24.31284185,6.384458103,0.456824006,3.759788502
8.744403185,14.75550899,7.543680282,211.1589809,24.62249512,6.390001571,0.457846508,3.755423963
8.721473838,14.78152128,7.540427927,210.1332546,24.92982545,6.395407026,0.458847868,3.751041616
8.69872717,14.80732632,7.53719737,209.1210405,25.23470725,6.400675826,0.459828173,3.746641716
8.67617255,14.83291349,7.533989851,208.1223545,25.53701498,6.405809328,0.460787514,3.74222452
8.653819345,14.85827217,7.53080661,207.1372126,25.83662307,6.410808888,0.461725978,3.737790282
8.631676923,14.88339173,7.527648887,206.1656307,26.13340595,6.415675863,0.462643656,3.733339259
8.609754653,14.90826153,7.524517922,205.2076245,26.42723805,6.420411611,0.463540636,3.728871706
8.588061903,14.93287095,7.521414954,204.2632101,26.71799382,6.425017487,0.464417007,3.724387878
8.566608041,14.95720936,7.518341224,203.3324033,27.00554768,6.42949485,0.465272859,3.719888031
8.545402436,14.98126614,7.515297971,202.4152199,27.28977408,6.433845057,0.466108279,3.715372422
8.524454454,15.00503066,7.512286435,201.511676,27.57054744,6.438069463,0.466923358,3.710841304
8.503773465,15.02849229,7.509307856,200.6217874,27.84774221,6.442169426,0.467718185,3.706294935
8.483368837,15.0516404,7.506363475,199.7455699,28.12123282,6.446146304,0.468492847,3.70173357
8.463249937,15.07446436,7.50345453,198.8830396,28.3908937,6.450001452,0.469247435,3.697157463
8.443426135,15.09695354,7.500582261,198.0342121,28.65659929,6.453736228,0.469982038,3.692566872
8.423906797,15.11909733,7.497747909,197.1991036,28.91822402,6.45735199,0.470696743,3.687962052
8.404701293,15.14088509,7.494952714,196.3777298,29.17564233,6.460850093,0.471391642,3.683343257
8.385818991,15.16230619,7.492197914,195.5701066,29.42872866,6.464231895,0.472066821,3.678710744
8.367269257,15.18335,7.489484751,194.77625,29.67735743,6.467498752,0.472722372,3.674064769
8.349061462,15.2040059,7.486814464,193.9961759,29.92140309,6.470652022,0.473358382,3.669405587
8.331204973,15.22426327,7.484188292,193.2299,30.16074007,6.473693062,0.47397494,3.664733453
8.313709157,15.24411146,7.481607477,192.4774384,30.39524281,6.476623229,0.474572136,3.660048624
8.296583384,15.26353986,7.479073256,191.7388068,30.62478573,6.479443879,0.475150059,3.655351355
8.279837022,15.28253783,7.476586872,191.0140213,30.84924328,6.482156369,0.475708797,3.650641901
8.263479437,15.30109476,7.474149562,190.3030977,31.06848989,6.484762057,0.47624844,3.645920518
8.24752,15.3192,7.471762568,189.6060519,31.2824,6.4872623,0.476769077,3.641187462
8.231968077,15.33684294,7.469427128,188.9228997,31.49084804,6.489658454,0.477270796,3.636442989
8.216833038,15.35401294,7.467144484,188.2536571,31.69370844,6.491951876,0.477753688,3.631687353
8.202124249,15.37069938,7.464915874,187.59834,31.89085565,6.494143923,0.47821784,3.626920811
8.18785108,15.38689163,7.462742538,186.9569643,32.08216409,6.496235953,0.478663342,3.622143619
8.174022899,15.40257906,7.460625718,186.3295458,32.2675082,6.498229321,0.479090282,3.617356031
8.160649073,15.41775105,7.458566651,185.7161004,32.44676243,6.500125386,0.479498751,3.612558304
8.147738971,15.43239697,7.456566579,185.1166441,32.61980119,6.501925504,0.479888837,3.607750693
8.135301961,15.44650618,7.454626741,184.5311928,32.78649893,6.503631032,0.480260628,3.602933453
8.123347411,15.46006806,7.452748376,183.9597622,32.94673008,6.505243327,0.480614215,3.598106841
8.111884689,15.47307199,7.450932726,183.4023684,33.10036908,6.506763746,0.480949686,3.593271112
8.100923164,15.48550734,7.449181029,182.8590272,33.24729037,6.508193646,0.481267129,3.588426521
8.090472203,15.49736347,7.447494525,182.3297545,33.38736837,6.509534384,0.481566635,3.583573325
8.080541175,15.50862976,7.445874455,181.8145662,33.52047753,6.510787316,0.481848292,3.578711779
8.071139448,15.51929558,7.444322058,181.3134781,33.64649227,6.5119538,0.482112189,3.573842138
8.06227639,15.52935031,7.442838575,180.8265063,33.76528704,6.513035193,0.482358415,3.568964658
8.053961369,15.53878332,7.441425244,180.3536666,33.87673627,6.514032852,0.482587059,3.564079595
8.046203754,15.54758398,7.440083306,179.8949748,33.98071439,6.514948133,0.482798211,3.559187204
8.039012912,15.55574165,7.438814,179.4504468,34.07709584,6.515782393,0.482991959,3.554287741
8.032398212,15.56324573,7.437618568,179.0200987,34.16575505,6.516536991,0.483168392,3.549381461
8.026369022,15.57008556,7.436498247,178.6039462,34.24656647,6.517213281,0.483327599,3.544468621
8.02093471,15.57625054,7.435454279,178.2020052,34.31940452,6.517812622,0.48346967,3.539549476
8.016104644,15.58173003,7.434487903,177.8142916,34.38414364,6.518336371,0.483594693,3.534624281
8.011888192,15.5865134,7.433600359,177.4408214,34.44065826,6.518785883,0.483702758,3.529693292
8.008294723,15.59059002,7.432792887,177.0816104,34.48882283,6.519162517,0.483793953,3.524756765
8.005333604,15.59394927,7.432066727,176.7366745,34.52851177,6.51946763,0.483868367,3.519814955
8.003014205,15.59658052,7.431423118,176.4060297,34.55959952,6.519702577,0.48392609,3.514868118
8.001345892,15.59847315,7.430863301,176.0896917,34.58196052,6.519868717,0.483967211,3.509916509
8.000338034,15.59961652,7.430388515,175.7876765,34.5954692,6.519967405,0.483991817,3.504960385
8,15.6,7.43,175.5,34.6,6.52,0.484,3.5
8.000716165,15.59908941,7.429656036,175.2201299,34.59206694,6.519515658,0.483914347,3.494865118
8.002845813,15.59637124,7.429314093,174.941543,34.5684686,6.518074778,0.483659641,3.489390509
8.006360676,15.59186589,7.428974198,174.6642686,34.52950624,6.51569558,0.483239263,3.483583942
8.011232482,15.58559378,7.428636379,174.3883361,34.4754811,6.512396283,0.482656595,3.477453183
8.017432963,15.57757531,7.428300663,174.1137747,34.40669445,6.508195108,0.481915018,3.471006
8.024933849,15.56783088,7.427967077,173.8406138,34.32344754,6.503110274,0.481017912,3.464250161
8.03370687,15.55638091,7.427635649,173.5688827,34.22604163,6.497160002,0.479968658,3.457193433
8.043723756,15.54324579,7.427306405,173.2986109,34.11477797,6.49036251,0.478770639,3.449843584
8.054956239,15.52844593,7.426979372,173.0298275,33.98995782,6.482736018,0.477427234,3.442208381
8.067376047,15.51200175,7.426654579,172.762562,33.85188243,6.474298747,0.475941825,3.434295592
8.080954912,15.49393364,7.426332052,172.4968437,33.70085305,6.465068916,0.474317793,3.426112984
8.095664563,15.47426201,7.426011818,172.232702,33.53717095,6.455064745,0.472558518,3.417668326
8.111476732,15.45300726,7.425693905,171.9701661,33.36113738,6.444304453,0.470667383,3.408969384
8.128363148,15.43018982,7.42537834,171.7092654,33.17305359,6.432806261,0.468647767,3.400023926
8.146295542,15.40583007,7.42506515,171.4500292,32.97322085,6.420588388,0.466503053,3.39083972
8.165245645,15.37994842,7.424754362,171.1924869,32.76194039,6.407669053,0.464236621,3.381424533
8.185185185,15.35256529,7.424446004,170.9366679,32.53951349,6.394066478,0.461851852,3.371786133
8.206085895,15.32370108,7.424140103,170.6826014,32.30624139,6.379798881,0.459352127,3.361932287
8.227919503,15.29337619,7.423836685,170.4303168,32.06242536,6.364884482,0.456740827,3.351870763
8.250657741,15.26161103,7.423535778,170.1798434,31.80836664,6.349341501,0.454021334,3.341609329
8.274272339,15.228426,7.42323741,169.9312106,31.54436649,6.333188157,0.451197028,3.331155751
8.298735026,15.19384152,7.422941607,169.6844476,31.27072617,6.316442672,0.448271291,3.320517799
8.324017535,15.15787799,7.422648398,169.439584,30.98774693,6.299123263,0.445247503,3.309703238
8.350091594,15.12055581,7.422357808,169.1966489,30.69573003,6.281248152,0.442129045,3.298719837
8.376928934,15.08189539,7.422069865,168.9556717,30.39497673,6.262835558,0.4389193,3.287575363
